Set 1, h = 0, f1Test = 0,568169, f1Train = 0,541057
Set 1, h = 1, f1Test = 0,779294, f1Train = 0,748127
Set 1, h = 2, f1Test = 0,927546, f1Train = 0,889345
Set 1, h = 3, f1Test = 0,999486, f1Train = 0,964493
Set 1, h = 4, f1Test = 0,998073, f1Train = 0,964484
Set 1, h = 5, f1Test = 0,996296, f1Train = 0,964830
Set 1, h = 6, f1Test = 0,992072, f1Train = 0,964814
Set 1, h = 7, f1Test = 0,988371, f1Train = 0,966225
Set 1, h = 8, f1Test = 0,982786, f1Train = 0,966984
Set 1, h = 9, f1Test = 0,977866, f1Train = 0,968885
Set 1, h = 10, f1Test = 0,971533, f1Train = 0,970474
Set 1, h = 11, f1Test = 0,966144, f1Train = 0,972281
Set 1, h = 12, f1Test = 0,962202, f1Train = 0,974534
Set 1, h = 13, f1Test = 0,953469, f1Train = 0,975310
Set 1, h = 14, f1Test = 0,949449, f1Train = 0,978302
Set 1, h = 15, f1Test = 0,945249, f1Train = 0,980764
Set 1, h = 16, f1Test = 0,940767, f1Train = 0,983488
Set 1, h = 17, f1Test = 0,936839, f1Train = 0,986646
Set 1, h = 18, f1Test = 0,931480, f1Train = 0,988943
Set 1, h = 19, f1Test = 0,926584, f1Train = 0,991954
Set 1, h = 20, f1Test = 0,921099, f1Train = 0,994527
Set 1, h = 21, f1Test = 0,915843, f1Train = 0,996758
Set 1, h = 22, f1Test = 0,912008, f1Train = 0,999254
Set 1, h = 23, f1Test = 0,910874, f1Train = 1,000000
Optimal height: 3, f1Test = 0,999486, f1Train = 0,964493
Using random forest: f1Test = 0,871209, f1Train = 1,000000

Set 2, h = 0, f1Test = 0,303841, f1Train = 0,296120
Set 2, h = 1, f1Test = 0,358385, f1Train = 0,350685
Set 2, h = 2, f1Test = 0,489407, f1Train = 0,481923
Set 2, h = 3, f1Test = 0,533847, f1Train = 0,523011
Set 2, h = 4, f1Test = 0,565489, f1Train = 0,550053
Set 2, h = 5, f1Test = 0,576474, f1Train = 0,584444
Set 2, h = 6, f1Test = 0,610902, f1Train = 0,636921
Set 2, h = 7, f1Test = 0,636549, f1Train = 0,701524
Set 2, h = 8, f1Test = 0,637442, f1Train = 0,765218
Set 2, h = 9, f1Test = 0,649534, f1Train = 0,844869
Set 2, h = 10, f1Test = 0,642669, f1Train = 0,904794
Set 2, h = 11, f1Test = 0,634978, f1Train = 0,943796
Set 2, h = 12, f1Test = 0,631335, f1Train = 0,965214
Set 2, h = 13, f1Test = 0,629141, f1Train = 0,978249
Set 2, h = 14, f1Test = 0,628080, f1Train = 0,986310
Set 2, h = 15, f1Test = 0,626081, f1Train = 0,990604
Set 2, h = 16, f1Test = 0,624474, f1Train = 0,991870
Set 2, h = 17, f1Test = 0,622657, f1Train = 0,992639
Set 2, h = 18, f1Test = 0,622120, f1Train = 0,993402
Set 2, h = 19, f1Test = 0,621824, f1Train = 0,993909
Set 2, h = 20, f1Test = 0,621824, f1Train = 0,994671
Set 2, h = 21, f1Test = 0,621572, f1Train = 0,995184
Set 2, h = 22, f1Test = 0,621525, f1Train = 0,995945
Set 2, h = 23, f1Test = 0,620955, f1Train = 0,996452
Set 2, h = 24, f1Test = 0,620453, f1Train = 0,996960
Set 2, h = 25, f1Test = 0,620453, f1Train = 0,997212
Set 2, h = 26, f1Test = 0,619477, f1Train = 0,997465
Set 2, h = 27, f1Test = 0,618272, f1Train = 0,997719
Set 2, h = 28, f1Test = 0,617496, f1Train = 0,997971
Set 2, h = 29, f1Test = 0,616723, f1Train = 0,998222
Set 2, h = 30, f1Test = 0,616680, f1Train = 0,998731
Set 2, h = 31, f1Test = 0,616680, f1Train = 0,998984
Set 2, h = 32, f1Test = 0,616425, f1Train = 0,999238
Set 2, h = 33, f1Test = 0,616425, f1Train = 0,999492
Set 2, h = 34, f1Test = 0,616425, f1Train = 0,999746
Set 2, h = 35, f1Test = 0,616152, f1Train = 1,000000
Set 2, h = 36, f1Test = 0,616152, f1Train = 1,000000
Set 2, h = 37, f1Test = 0,616152, f1Train = 1,000000
Set 2, h = 38, f1Test = 0,616152, f1Train = 1,000000
Set 2, h = 39, f1Test = 0,616152, f1Train = 1,000000
Set 2, h = 40, f1Test = 0,616152, f1Train = 1,000000
Set 2, h = 41, f1Test = 0,616152, f1Train = 1,000000
Set 2, h = 42, f1Test = 0,616152, f1Train = 1,000000
Set 2, h = 43, f1Test = 0,616152, f1Train = 1,000000
Set 2, h = 44, f1Test = 0,616152, f1Train = 1,000000
Set 2, h = 45, f1Test = 0,616152, f1Train = 1,000000
Set 2, h = 46, f1Test = 0,616152, f1Train = 1,000000
Set 2, h = 47, f1Test = 0,616152, f1Train = 1,000000
Set 2, h = 48, f1Test = 0,616152, f1Train = 1,000000
Set 2, h = 49, f1Test = 0,616152, f1Train = 1,000000
Optimal height: 9, f1Test = 0,649534, f1Train = 0,844869
Using random forest: f1Test = 0,319088, f1Train = 1,000000

Set 3, h = 0, f1Test = 0,928165, f1Train = 0,900610
Set 3, h = 1, f1Test = 1,000000, f1Train = 0,975814
Set 3, h = 2, f1Test = 1,000000, f1Train = 0,974819
Set 3, h = 3, f1Test = 0,994266, f1Train = 0,975223
Set 3, h = 4, f1Test = 0,988505, f1Train = 0,976338
Set 3, h = 5, f1Test = 0,987059, f1Train = 0,976457
Set 3, h = 6, f1Test = 0,986352, f1Train = 0,976046
Set 3, h = 7, f1Test = 0,985646, f1Train = 0,976246
Set 3, h = 8, f1Test = 0,984923, f1Train = 0,976507
Set 3, h = 9, f1Test = 0,985629, f1Train = 0,977255
Set 3, h = 10, f1Test = 0,985629, f1Train = 0,977292
Set 3, h = 11, f1Test = 0,982070, f1Train = 0,977527
Set 3, h = 12, f1Test = 0,978457, f1Train = 0,978362
Set 3, h = 13, f1Test = 0,975831, f1Train = 0,978963
Set 3, h = 14, f1Test = 0,972223, f1Train = 0,978805
Set 3, h = 15, f1Test = 0,970780, f1Train = 0,979083
Set 3, h = 16, f1Test = 0,965737, f1Train = 0,980550
Set 3, h = 17, f1Test = 0,965737, f1Train = 0,981766
Set 3, h = 18, f1Test = 0,965017, f1Train = 0,982129
Set 3, h = 19, f1Test = 0,965017, f1Train = 0,982196
Set 3, h = 20, f1Test = 0,965737, f1Train = 0,982834
Set 3, h = 21, f1Test = 0,965737, f1Train = 0,982776
Set 3, h = 22, f1Test = 0,957828, f1Train = 0,983416
Set 3, h = 23, f1Test = 0,957828, f1Train = 0,983966
Set 3, h = 24, f1Test = 0,952087, f1Train = 0,985144
Set 3, h = 25, f1Test = 0,953522, f1Train = 0,985598
Set 3, h = 26, f1Test = 0,951370, f1Train = 0,987273
Set 3, h = 27, f1Test = 0,945641, f1Train = 0,987863
Set 3, h = 28, f1Test = 0,943496, f1Train = 0,989296
Set 3, h = 29, f1Test = 0,940637, f1Train = 0,989827
Set 3, h = 30, f1Test = 0,940637, f1Train = 0,990225
Set 3, h = 31, f1Test = 0,934927, f1Train = 0,991827
Set 3, h = 32, f1Test = 0,932788, f1Train = 0,992840
Set 3, h = 33, f1Test = 0,927804, f1Train = 0,993567
Set 3, h = 34, f1Test = 0,925670, f1Train = 0,994830
Set 3, h = 35, f1Test = 0,925670, f1Train = 0,995670
Set 3, h = 36, f1Test = 0,922827, f1Train = 0,996071
Set 3, h = 37, f1Test = 0,922827, f1Train = 0,996493
Set 3, h = 38, f1Test = 0,921407, f1Train = 0,996866
Set 3, h = 39, f1Test = 0,917150, f1Train = 0,997328
Set 3, h = 40, f1Test = 0,916441, f1Train = 0,997776
Set 3, h = 41, f1Test = 0,912191, f1Train = 0,998192
Set 3, h = 42, f1Test = 0,910775, f1Train = 0,999092
Set 3, h = 43, f1Test = 0,910068, f1Train = 0,999552
Set 3, h = 44, f1Test = 0,905826, f1Train = 1,000000
Optimal height: 1, f1Test = 1,000000, f1Train = 0,975814
Using random forest: f1Test = 0,928165, f1Train = 1,000000

Set 4, h = 0, f1Test = 0,673587, f1Train = 0,664964
Set 4, h = 1, f1Test = 0,781895, f1Train = 0,777598
Set 4, h = 2, f1Test = 0,904543, f1Train = 0,890616
Set 4, h = 3, f1Test = 0,898954, f1Train = 0,889336
Set 4, h = 4, f1Test = 0,969816, f1Train = 0,951971
Set 4, h = 5, f1Test = 0,988741, f1Train = 0,973754
Set 4, h = 6, f1Test = 0,982700, f1Train = 0,977442
Set 4, h = 7, f1Test = 0,976006, f1Train = 0,980137
Set 4, h = 8, f1Test = 0,971683, f1Train = 0,981269
Set 4, h = 9, f1Test = 0,965114, f1Train = 0,981122
Set 4, h = 10, f1Test = 0,967519, f1Train = 0,982303
Set 4, h = 11, f1Test = 0,967688, f1Train = 0,983239
Set 4, h = 12, f1Test = 0,963704, f1Train = 0,983853
Set 4, h = 13, f1Test = 0,964222, f1Train = 0,985182
Set 4, h = 14, f1Test = 0,963355, f1Train = 0,986020
Set 4, h = 15, f1Test = 0,961933, f1Train = 0,987087
Set 4, h = 16, f1Test = 0,954177, f1Train = 0,986781
Set 4, h = 17, f1Test = 0,956757, f1Train = 0,988699
Set 4, h = 18, f1Test = 0,956241, f1Train = 0,989811
Set 4, h = 19, f1Test = 0,952625, f1Train = 0,990686
Set 4, h = 20, f1Test = 0,951726, f1Train = 0,992267
Set 4, h = 21, f1Test = 0,949296, f1Train = 0,992932
Set 4, h = 22, f1Test = 0,947412, f1Train = 0,993494
Set 4, h = 23, f1Test = 0,946653, f1Train = 0,994421
Set 4, h = 24, f1Test = 0,944594, f1Train = 0,995350
Set 4, h = 25, f1Test = 0,943221, f1Train = 0,995999
Set 4, h = 26, f1Test = 0,942709, f1Train = 0,996622
Set 4, h = 27, f1Test = 0,942198, f1Train = 0,997278
Set 4, h = 28, f1Test = 0,939801, f1Train = 0,997959
Set 4, h = 29, f1Test = 0,938743, f1Train = 0,999000
Set 4, h = 30, f1Test = 0,938743, f1Train = 0,999338
Set 4, h = 31, f1Test = 0,937715, f1Train = 0,999671
Set 4, h = 32, f1Test = 0,937715, f1Train = 1,000000
Set 4, h = 33, f1Test = 0,937715, f1Train = 1,000000
Set 4, h = 34, f1Test = 0,937715, f1Train = 1,000000
Set 4, h = 35, f1Test = 0,937715, f1Train = 1,000000
Set 4, h = 36, f1Test = 0,937715, f1Train = 1,000000
Set 4, h = 37, f1Test = 0,937715, f1Train = 1,000000
Set 4, h = 38, f1Test = 0,937715, f1Train = 1,000000
Set 4, h = 39, f1Test = 0,937715, f1Train = 1,000000
Set 4, h = 40, f1Test = 0,937715, f1Train = 1,000000
Set 4, h = 41, f1Test = 0,937715, f1Train = 1,000000
Set 4, h = 42, f1Test = 0,937715, f1Train = 1,000000
Set 4, h = 43, f1Test = 0,937715, f1Train = 1,000000
Set 4, h = 44, f1Test = 0,937715, f1Train = 1,000000
Set 4, h = 45, f1Test = 0,937715, f1Train = 1,000000
Set 4, h = 46, f1Test = 0,937715, f1Train = 1,000000
Set 4, h = 47, f1Test = 0,937715, f1Train = 1,000000
Set 4, h = 48, f1Test = 0,937715, f1Train = 1,000000
Set 4, h = 49, f1Test = 0,937715, f1Train = 1,000000
Optimal height: 5, f1Test = 0,988741, f1Train = 0,973754
Using random forest: f1Test = 0,673814, f1Train = 1,000000

Set 5, h = 0, f1Test = 0,959459, f1Train = 0,947608
Set 5, h = 1, f1Test = 0,995681, f1Train = 0,981849
Set 5, h = 2, f1Test = 0,992446, f1Train = 0,979844
Set 5, h = 3, f1Test = 0,995681, f1Train = 0,982747
Set 5, h = 4, f1Test = 0,995681, f1Train = 0,983664
Set 5, h = 5, f1Test = 0,995681, f1Train = 0,984041
Set 5, h = 6, f1Test = 0,982757, f1Train = 0,985130
Set 5, h = 7, f1Test = 0,980626, f1Train = 0,987091
Set 5, h = 8, f1Test = 0,976379, f1Train = 0,990375
Set 5, h = 9, f1Test = 0,973170, f1Train = 0,992000
Set 5, h = 10, f1Test = 0,962668, f1Train = 0,996212
Set 5, h = 11, f1Test = 0,960477, f1Train = 1,000000
Optimal height: 1, f1Test = 0,995681, f1Train = 0,981849
Using random forest: f1Test = 0,959658, f1Train = 1,000000

Set 6, h = 0, f1Test = 0,742540, f1Train = 0,737722
Set 6, h = 1, f1Test = 0,877796, f1Train = 0,858102
Set 6, h = 2, f1Test = 0,962631, f1Train = 0,933755
Set 6, h = 3, f1Test = 0,992281, f1Train = 0,963856
Set 6, h = 4, f1Test = 0,991177, f1Train = 0,968783
Set 6, h = 5, f1Test = 0,987306, f1Train = 0,973715
Set 6, h = 6, f1Test = 0,985641, f1Train = 0,975932
Set 6, h = 7, f1Test = 0,982336, f1Train = 0,977015
Set 6, h = 8, f1Test = 0,976214, f1Train = 0,979193
Set 6, h = 9, f1Test = 0,973999, f1Train = 0,980835
Set 6, h = 10, f1Test = 0,972903, f1Train = 0,982463
Set 6, h = 11, f1Test = 0,971237, f1Train = 0,984110
Set 6, h = 12, f1Test = 0,969562, f1Train = 0,985213
Set 6, h = 13, f1Test = 0,968476, f1Train = 0,986341
Set 6, h = 14, f1Test = 0,965184, f1Train = 0,987982
Set 6, h = 15, f1Test = 0,962961, f1Train = 0,989623
Set 6, h = 16, f1Test = 0,962413, f1Train = 0,990728
Set 6, h = 17, f1Test = 0,961321, f1Train = 0,991271
Set 6, h = 18, f1Test = 0,959687, f1Train = 0,991815
